feature,importance
num__affected_rolling_3,0.25843054588275616
num__kits_rolling_3,0.256877331753359
num__max_rain,0.1137714001476516
num__rain_lag_3,0.05497376620017928
num__sum_rain,0.042608038494026806
num__mean_rain,0.03779218424501945
num__month,0.02993043476287281
num__inundation_pct,0.024826572493434805
num__inundation_intensity_sum,0.023813445092476515
num__affected_rolling_6,0.019709725480085573
num__kits_rolling_6,0.018148388666972975
num__affected_lag_2,0.013184278910977556
num__kits_lag_2,0.011769599965880213
num__kits_lag_1,0.009730300920646109
num__affected_lag_1,0.00948089827381329
num__time_index,0.006249924427602358
num__health_centres_count,0.006126105308357941
num__road_length,0.005817027610327057
num__avg_electricity,0.005177677609506597
num__inundation_intensity_mean,0.005093326341444016
num__rain_rolling_3,0.0048011889251844434
num__net_sown_area_in_hac,0.003789725310241804
num__sum_population,0.0032312695372261604
num__mean_ndbi,0.002969679058793224
num__population_density,0.0025215216163677373
num__rain_lag_2,0.002239661963071693
num__rain_rolling_6,0.0022213182473039194
num__bare_ground,0.0020530737404837107
num__rc_nosanitation_hhds_pct,0.0019927817690418015
num__distance_from_river,0.0019796430448667285
num__mean_ndvi,0.001690954764971335
num__rc_piped_hhds_pct,0.0016504347886294752
num__built_area,0.001606108842061415
num__rain_lag_1,0.0015489335369464046
num__flooded_vegetation,0.0013434830393986084
num__water,0.0012631968869166363
num__schools_count,0.0012095543912230401
num__crops,0.001170087293711101
num__rail_length,0.0011301844820041887
num__slope_mean,0.001058458567604461
num__riverlevel_mean,0.000900715291875739
num__drainage_density,0.0008447170073591501
num__rc_area,0.0006962279643927879
num__riverlevel_min,0.00057458851758621
num__year,0.0005026296494374506
num__elevation_mean,0.00041954806173358347
num__affected_lag_3,0.0002280721806071802
num__avg_tele,0.00022784009519803808
num__riverlevel_max,0.00011682930165101209
cat__object_id_18-323-00224,8.059223786257254e-05
cat__district_CACHAR,4.430410024962602e-05
cat__district_HAILAKANDI,4.404845454211815e-05
num__kits_lag_3,4.330280669365284e-05
cat__district_BARPETA,3.969230661028486e-05
cat__object_id_18-308-00153,3.025825863711865e-05
cat__object_id_18-305-00136,2.0967031770195962e-05
cat__district_DARRANG,2.0187328448851055e-05
num__is_monsoon,1.8438353700277694e-05
cat__district_DHUBRI,1.6519465905982562e-05
cat__object_id_18-756-00250,1.632001638934062e-05
cat__object_id_18-325-00239,1.1126441067371852e-05
cat__district_NAGAON,1.094188020784321e-05
cat__district_LAKHIMPUR,1.0758953457815422e-05
cat__district_SIVASAGAR,9.27042996260841e-06
cat__object_id_18-307-00145,8.630688431917356e-06
cat__object_id_18-307-00141,7.0307107888108604e-06
cat__object_id_18-307-00142,6.748657555069102e-06
cat__object_id_18-316-00186,6.49000312608496e-06
cat__object_id_18-325-00269,5.277070972159308e-06
cat__district_DHEMAJI,5.174433765408269e-06
cat__district_BAJALI,4.899093053283801e-06
cat__district_NALBARI,4.8336782192161085e-06
cat__district_BISWANATH,3.5807824451851053e-06
cat__object_id_18-311-00166,3.2794986835302194e-06
cat__district_KARIMGANJ,3.1661871210454785e-06
cat__object_id_18-308-00151,3.0916815338922647e-06
cat__object_id_18-308-00150,2.8111720368154505e-06
cat__object_id_18-304-00126,2.558760381509594e-06
cat__district_HOJAI,2.461465603012398e-06
cat__district_DIBRUGARH,2.2982483886965843e-06
cat__object_id_18-308-00152,1.8741213397171277e-06
cat__object_id_18-799-00265,1.642951595014487e-06
cat__district_MORIGAON,1.4925792581277995e-06
cat__object_id_18-317-00192,1.444672594010073e-06
cat__object_id_18-301-00113,1.2286534246323853e-06
cat__object_id_18-313-00173,1.224440064725525e-06
